"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
4417,"NCT04486404","Needs, Perceptions and Acute Stress of Healtcare Workers Caring for COVID-19 Patients in South America",,"Enrolling by invitation","No Results Available","Acute Stress Disorder","Other: Online survey","Prevalence of Acute Stress","Universidad Miguel Hernandez de Elche|Universidad Catolica Santiago de Guayaquil|Universidad de Santander|University of Sao Paulo|Pontificia Universidad Catolica de Chile","All","18 Years and older   (Adult, Older Adult)",,"2500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","08/04/2020","April 1, 2020","June 30, 2020","November 30, 2020","July 24, 2020",,"October 29, 2020","Institute for Clinical Effectiveness and Health Policy, Buenos Aires, Argentina|Pontificia Universidad Católica de Chile, Santiago, Chile|Universidad de Santander, Bucaramanga, Santander, Colombia|Universidad Católica de Santiago de Guayaquil, Guayaquil, Guayas, Ecuador|Universidad Miguel Hernández de Elche, Elche, Alicante, Spain",,"https://ClinicalTrials.gov/show/NCT04486404"
4418,"NCT04456088","Inhaled NO for the Treatment of COVID-19 Caused by SARS-CoV-2 (CANADA Trial)",,"Withdrawn","No Results Available","COVID-19|SARS-CoV 2|Respiratory Disease|Pneumonia, Viral|Corona Virus Infection","Combination Product: 150 ppm Nitric Oxide delivered through LungFit Delivery System|Combination Product: 80 ppm Nitric Oxide delivered through LungFit Delivery System","Time to deterioration|Time to stable oxygen saturation","Beyond Air Inc.","All","22 Years to 75 Years   (Adult, Older Adult)","Phase 2","0","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BAI_COV19_01_CAN","July 15, 2020","November 15, 2020","December 15, 2020","July 2, 2020",,"January 22, 2021",,,"https://ClinicalTrials.gov/show/NCT04456088"
4419,"NCT04536051","A Study of a Candidate COVID-19 Vaccine (COV003)",,"Recruiting","No Results Available","Coronavirus","Biological: ChAdOx1 nCoV-19 single dose + paracetamol|Biological: MenACWY single dose + paracetamol|Biological: ChAdOx1 nCoV-19 two dose + paracetamol|Biological: MenACWY prime & saline placebo boost + paracetamol","Evaluate the efficacy of ChAdOx1 nCoV-19 vaccine against COVID-19 disease confirmed with PCR|Evaluate the safety, tolerability and reactogenicity profile of ChAdOx1 nCoV-19 candidate vaccine: occurrence of signs and symptoms of local and systemic reactogenicity requested during 7 days after vaccination|Evaluate the safety, tolerability and reactogenicity profile of ChAdOx1 nCoV-19 candidate vaccine: occurrence of serious adverse events|Evaluate the safety, tolerability and reactogenicity profile of ChAdOx1 nCoV-19 candidate vaccine: occurrence of episodes; intensified disease|Evaluate the efficacy of ChAdOx1 nCoV-19 candidate vaccine against severe and non-severe COVID-19 disease: hospitalization for COVID-19 disease confirmed by PCR|Evaluate the efficacy of ChAdOx1 nCoV-19 candidate vaccine against severe and non-severe COVID-19 disease: COVID-19 serious disease confirmed by PCR|Evaluate the efficacy of ChAdOx1 nCoV-19 candidate vaccine against severe and non-severe COVID-19 disease: death associated with COVID-19 disease|Evaluate the efficacy of ChAdOx1 nCoV-19 candidate vaccine against severe and non-severe COVID-19 disease: antibodies against SARS-CoV-2 non-Spike protein (serum efficacy rates)|Evaluate the humoral immunogenicity of ChAdOx1 nCoV-19: antibodies against the SARS-CoV-2 spike protein (serum conversion rates)|Evaluate the humoral immunogenicity of ChAdOx1 nCoV-19: virus neutralizing antibodies (NAb) against live and/or pseudotyped SARS-CoV-2 virus|Assess the cellular immunogenicity of ChAdOx1 nCoV-19 candidate vaccine","University of Oxford","All","18 Years and older   (Adult, Older Adult)","Phase 3","10300","Other","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","COV003","June 2, 2020","September 2021","September 2021","September 2, 2020",,"November 27, 2020","Instituto D'Or de Pesquisa e Ensino - I'Dor, Salvador, Bahia, Brazil|Centro de Pesquisas Clinicas de Natal (CPCLIN), Natal, Rio Grande Do Norte, Brazil|Hospital das Clinicas de Porto Alegre, Porto Alegre, Rio Grande Do Sul, Brazil|Universidade Federal de Santa Maria (UFSM), Santa Maria, Rio Grande Do Sul, Brazil|Instituto D'Or de Pesquisa e Ensino - I'Dor, Rio de Janeiro, Brazil|CRIE, Universidade Federal de São Paulo, São Paulo, Brazil",,"https://ClinicalTrials.gov/show/NCT04536051"
4420,"NCT04346277","Compassionate Use Open-Label Anti-CD14 Treatment in Patients With SARS-CoV-2 (COVID-19)",,"Available","No Results Available","COVID|ARDS, Human|Ards|SARS-CoV2","Biological: IC14, a monoclonal antibody against CD14",,"Implicit Bioscience","All","18 Years to 70 Years   (Adult, Older Adult)",,,"Industry","Expanded Access:Intermediate-size Population",,"COV02",,,,"April 15, 2020",,"June 24, 2020","IRCCS San Raffaele Scientific Institute, Vita-Salute San Raffaele University, Milano, Italy",,"https://ClinicalTrials.gov/show/NCT04346277"
4421,"NCT04443673","Glycine Supplement for Severe COVID-19",,"Recruiting","No Results Available","COVID-19|SARS-CoV Infection|SARS (Severe Acute Respiratory Syndrome)|SARS Pneumonia|ARDS, Human|Pneumonia, Viral","Dietary Supplement: Glycine","Mortality|Days under mechanical ventilation|PaO2/FiO2 ratio|Arterial plasma lactate|Serum IL-1β|Serum IL-2|Serum IL-4|Serum IL-5|Serum IL-6|Serum IL-7|Serum IL-8|Serum IL-10|Serum IL-12|Serum IL-13|Serum IL-17|Serum G-CSF|Serum GM-CSF|Serum IFN-γ|Serum MCP-1|Serum MIP-1β|Serum TNF-α|Serum creatinine|Serum alanine aminotransferase|Serum aspartate aminotransferase|Serum alkaline phosphatase|Serum total bilirubin|Serum unconjugated bilirubin|Serum conjugated bilirubin|Serum C reactive protein|Hemoglobin|Total leukocytes|Neutrophils|Lymphocytes|Monocytes|Eosinophils|Basophils|Platelets|Prothrombin time|Serum PAI-1|SOFA score|APACHE II score","Instituto Nacional de Enfermedades Respiratorias","All","Child, Adult, Older Adult","Not Applicable","82","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","C40-20","August 20, 2020","February 28, 2021","June 30, 2021","June 23, 2020",,"August 24, 2020","Instituto Nacional de Enfermedades Respiratorias, Mexico DF, Mexico",,"https://ClinicalTrials.gov/show/NCT04443673"
4422,"NCT04291729","Evaluation of Ganovo （Danoprevir ） Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection",,"Completed","No Results Available","COVID-19","Drug: Ganovo+ritonavir+/-Interferon nebulization","Rate of composite adverse outcomes|Time to recovery|Rate of no fever|Rate of no cough|Rate of no dyspnea|Rate of no requiring supplemental oxygen|Rate of undetectable New coronavirus pathogen nucleic acid|Rate of mechanical ventilation|Rate of ICU admission|Rate of serious adverse event","The Ninth Hospital of Nanchang|Ascletis Pharmaceuticals Co., Ltd.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 4","11","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ASC-CTP-NC-01","February 17, 2020","March 19, 2020","March 19, 2020","March 2, 2020",,"April 13, 2020","The Ninth Hospital of Nanchang, Nanchang, Jiangxi, China",,"https://ClinicalTrials.gov/show/NCT04291729"
4423,"NCT04677270","Evaluation of Two Versions of a Digital Problem Solving Tool for the General Public Specific for the COVID-19 Pandemic","COVIDPROBLEM","Completed","No Results Available","Problem Solving","Behavioral: Digital problem solving tool","System Usability Scale|Treatment Credibility Scale|Use of intervention","Karolinska Institutet|Stockholm County Council, Sweden","All","16 Years and older   (Child, Adult, Older Adult)","Not Applicable","397","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","COVIDPROBLEM","August 31, 2020","November 30, 2020","November 30, 2020","December 21, 2020",,"December 21, 2020","Centrum för Psykiatriforskning, Stockholm, Sweden",,"https://ClinicalTrials.gov/show/NCT04677270"
4424,"NCT04334967","Hydroxychloroquine in Patients With Newly Diagnosed COVID-19 Compared to Standard of Care",,"Suspended","No Results Available","COVID-19|Corona Virus Infection|SARS-CoV-2|2019-nCoV|2019 Novel Coronavirus","Drug: Hydroxychloroquine|Dietary Supplement: Vitamin C","Total Hospitalization|Total Mechanical Ventilation|Fever intensity measure|Shortness of breath measure|Changes in daytime cough measure|Changes in nighttime cough measure|Total mortality","Providence Health & Services|Center for Outcomes Research and Education|Providence Cancer Center, Earle A. Chiles Research Institute","All","45 Years and older   (Adult, Older Adult)","Phase 4","13","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","2020000186","March 30, 2020","May 27, 2021","May 27, 2022","April 6, 2020",,"September 16, 2020","Portland Providence Medical Center, Portland, Oregon, United States",,"https://ClinicalTrials.gov/show/NCT04334967"
4425,"NCT04466306","Pediatric Acute Kidney Injury in COVID-19","SPARC-1","Enrolling by invitation","No Results Available","Acute Kidney Injury|COVID",,"Acute Kidney Injury (AKI)|Survival|Rate of Extracorporeal Therapy Requirement|Fluid overload|Rate of nephrotoxic medication exposure","Children's Healthcare of Atlanta|Children's Hospital Medical Center, Cincinnati|Children's of Alabama|The Hospital for Sick Children","All","up to 25 Years   (Child, Adult)",,"250","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","ChildrensHA","April 15, 2020","July 8, 2020","July 1, 2021","July 10, 2020",,"July 10, 2020","Children's Hospital of Alabama, Birmingham, Alabama, United States|Arkansas Children's Research Institute, Little Rock, Arkansas, United States|Cedars-Sinai Maxine Dunitz Children's Health Center, Los Angeles, California, United States|UCLA Mattel Children's Hospital, Los Angeles, California, United States|Lucile Packard Children's Hospital Standford, Palo Alto, California, United States|Rady Children's Hospital San Diego, San Diego, California, United States|Children's Hospital Colorado, Aurora, Colorado, United States|Yale New Haven Children's Hospital, New Haven, Connecticut, United States|UF Health Shands Children's Hospital, Gainesville, Florida, United States|Children's Healthcare of Atlanta, Atlanta, Georgia, United States|Comer Children's Hospital - UChicago Medicine, Chicago, Illinois, United States|Riley Hospital for Children, Indianapolis, Indiana, United States|University of Iowa Stead Family Children's Hospital, Iowa City, Iowa, United States|Children's Mercy, Kansas City, Kansas, United States|John Hopkins Children's Center, Baltimore, Maryland, United States|Boston Children's Hospital, Boston, Massachusetts, United States|C.S. Mott Children's Hospital, Ann Arbor, Michigan, United States|Helen DeVos Children's Hospital, Grand Rapids, Michigan, United States|Beaumont Children's Hospital, Royal Oak, Michigan, United States|St. Louis Children's Hospital of Washington University, Saint Louis, Missouri, United States|Oishei Children's Hospital of Buffalo, Buffalo, New York, United States|Golisano Children's Hospital - University of Rochester Medicine, Rochester, New York, United States|Stony Brook Children's Hospital, Stony Brook, New York, United States|Levine Children's Hospital, Charlotte, North Carolina, United States|Duke Children's Hospital and Health Center, Durham, North Carolina, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Nationwide Children's Hospital, Columbus, Ohio, United States|Penn State Children's Hospital, Hershey, Pennsylvania, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|UPMC Children's Hospital of Pittsburgh, Pittsburgh, Pennsylvania, United States|Lifespan Hasbro Children's Hospital, Providence, Rhode Island, United States|Medical University of South Carolina Shawn Jenkins Children's Hospital, Charleston, South Carolina, United States|Seattle Children's Hospital, Seattle, Washington, United States|Stollery Children's Hospital, Edmonton, Alberta, Canada|McMaster Children's Hospital, Hamilton, Ontario, Canada|The Hospital for Sick Children (SickKids), Toronto, Ontario, Canada|Soroka University Medical Center, Be'er Sheva, Israel|Dana-Dwek Children's Hospital, Tel Aviv, Israel|Shizuoka Children's Hospital, Shizuoka, Japan|Institute for Mother and Child Healthcare, Belgrade, Serbia|University Children's Hospital, Belgrade, Serbia|Hospital 12 de Octubre, Madrid, Spain|Birmingham Children's Hospital NHS, Birmingham, United Kingdom|Alder Hey Children's Hospital NHS, Liverpool, United Kingdom|King's College Hospital NHS, London, United Kingdom|St. George's University Hospital NHS, London, United Kingdom|Great Ormond Street Hospital NHS, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04466306"
4426,"NCT04448704","Understanding the Mental Health of Migrant Workers During the COVID-19 Outbreak",,"Completed","No Results Available","Mental Health Issue",,"DASS-21 Scores","Yale-NUS College","All","21 Years and older   (Adult, Older Adult)",,"1011","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","CCF@EXPO/R001/2020","June 22, 2020","October 11, 2020","October 11, 2020","June 26, 2020",,"February 23, 2021","EXPO, Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT04448704"
4427,"NCT04345276","Efficacy and Safety of Ganovo (Danoprevir) Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection",,"Completed","No Results Available","COVID-19","Drug: Danoprevir+Ritonavir","Rate of composite adverse outcomes|Time to recovery|Rate of no fever|Rate of no cough|Rate of no dyspnea|Rate of no requiring supplemental oxygen|Rate of undetectable New coronavirus pathogen nucleic acid|Rate of mechanical ventilation|Rate of ICU admission|Rate of serious adverse event","Huoshenshan Hospital|Ascletis Pharmaceuticals Co., Ltd.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 4","10","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ASC-CTP-HS-01","March 18, 2020","April 15, 2020","April 15, 2020","April 14, 2020",,"June 2, 2020","Huoshenshan Hostipal, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04345276"
